ticker,trades,profit
KRW-ETH,0,0
KRW-NEO,0,0
KRW-MTL,0,0
KRW-XRP,0,0
KRW-ETC,0,0
KRW-SNT,0,0
KRW-WAVES,0,0
KRW-XEM,0,0
KRW-QTUM,0,0
KRW-LSK,0,0
KRW-STEEM,0,0
KRW-XLM,0,0
KRW-ARDR,0,0
KRW-ARK,0,0
KRW-STORJ,0,0
KRW-GRS,0,0
KRW-ADA,0,0
KRW-POWR,0,0
KRW-ICX,0,0
KRW-EOS,0,0
KRW-TRX,0,0
KRW-SC,0,0
KRW-ONT,0,0
KRW-ZIL,0,0
KRW-POLYX,0,0
KRW-ZRX,0,0
KRW-BCH,0,0
KRW-BAT,0,0
KRW-IOST,0,0
KRW-CVC,0,0
KRW-IQ,0,0
KRW-IOTA,0,0
KRW-ONG,0,0
KRW-GAS,0,0
KRW-BOUNTY,0,0
KRW-ELF,0,0
KRW-KNC,0,0
KRW-BSV,0,0
KRW-THETA,0,0
KRW-QKC,0,0
KRW-BTT,0,0
KRW-MOC,0,0
KRW-TFUEL,0,0
KRW-MANA,0,0
KRW-ANKR,0,0
KRW-AERGO,0,0
KRW-ATOM,0,0
KRW-TT,0,0
KRW-GAME2,0,0
KRW-MBL,0,0
KRW-WAXP,0,0
KRW-HBAR,0,0
KRW-MED,0,0
KRW-MLK,0,0
KRW-STPT,0,0
KRW-ORBS,0,0
KRW-VET,0,0
KRW-CHZ,0,0
KRW-STMX,0,0
KRW-DKA,0,0
KRW-HIVE,0,0
KRW-KAVA,0,0
KRW-AHT,0,0
KRW-LINK,0,0
KRW-XTZ,0,0
KRW-BORA,0,0
KRW-JST,0,0
KRW-CRO,0,0
KRW-TOKAMAK,0,0
KRW-SXP,0,0
KRW-HUNT,0,0
KRW-DOT,0,0
KRW-MVL,0,0
KRW-STRAX,0,0
KRW-AQT,0,0
KRW-GLM,0,0
KRW-META,0,0
KRW-FCT2,0,0
KRW-CBK,0,0
KRW-SAND,0,0
KRW-HP,0,0
KRW-DOGE,0,0
KRW-STRIKE,0,0
KRW-PUNDIX,0,0
KRW-FLOW,0,0
KRW-AXS,0,0
KRW-STX,0,0
KRW-XEC,0,0
KRW-SOL,0,0
KRW-POL,0,0
KRW-AAVE,0,0
KRW-1INCH,0,0
KRW-ALGO,0,0
KRW-NEAR,0,0
KRW-AVAX,0,0
KRW-T,0,0
KRW-CELO,0,0
KRW-GMT,0,0
KRW-APT,0,0
KRW-SHIB,0,0
KRW-MASK,0,0
KRW-ARB,0,0
KRW-EGLD,0,0
KRW-SUI,0,0
KRW-GRT,0,0
KRW-BLUR,0,0
KRW-IMX,0,0
KRW-SEI,0,0
KRW-MINA,0,0
KRW-CTC,0,0
KRW-ASTR,0,0
KRW-ID,0,0
KRW-PYTH,0,0
KRW-MNT,0,0
KRW-AKT,0,0
KRW-ZETA,0,0
KRW-AUCTION,0,0
KRW-STG,0,0
KRW-BEAM,0,0
KRW-TAIKO,0,0
KRW-USDT,0,0
KRW-ONDO,0,0
KRW-ZRO,0,0
KRW-BLAST,0,0
KRW-JUP,0,0
KRW-ENS,0,0
KRW-G,0,0
KRW-PENDLE,0,0
KRW-ATH,0,0
KRW-USDC,0,0
KRW-UXLINK,0,0
KRW-BIGTIME,0,0
KRW-CKB,0,0
KRW-W,0,0
KRW-CARV,0,0
KRW-INJ,0,0
KRW-MEW,0,0
KRW-UNI,0,0
KRW-SAFE,0,0
KRW-DRIFT,0,0
KRW-AGLD,0,0
KRW-PEPE,0,0
KRW-BONK,0,0
KRW-RENDER,0,0
KRW-MOVE,0,0
KRW-ME,0,0
KRW-MOCA,0,0
KRW-VANA,0,0
KRW-SONIC,0,0
KRW-VTHO,0,0
KRW-ANIME,0,0
KRW-VIRTUAL,0,0
KRW-BERA,0,0
KRW-LAYER,0,0
KRW-TRUMP,0,0
KRW-JTO,0,0
KRW-COW,0,0
KRW-KAITO,0,0
KRW-ARKM,0,0
KRW-ORCA,0,0
KRW-WAL,0,0
KRW-COMP,0,0
KRW-FIL,0,0
KRW-WCT,0,0
KRW-DEEP,0,0
KRW-SIGN,0,0
KRW-TIA,0,0
KRW-PENGU,0,0
